#フレーム,タイプ,プレハブ名,X,Y,HP,HPバー表示,スコア,撃破時クリアフラグ,撃破時遷移先フレーム,撃破時生成プレハブ名
10,F,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,P,Item1,7,0,0,0,0,0,-1,NULL
40,P,Item1,7,0,0,0,0,0,-1,NULL
60,P,Item1,7,0,0,0,0,0,-1,NULL
80,P,Item1,7,0,0,0,0,0,-1,NULL
100,P,Item1,7,0,0,0,0,0,-1,NULL
120,P,Item1,7,0,0,0,0,0,-1,NULL
200,P,Item2,7,1,0,0,0,0,-1,NULL
220,P,Item2,7,-1,0,0,0,0,-1,NULL
240,P,Item2,7,1,0,0,0,0,-1,NULL
260,P,Item2,7,-1,0,0,0,0,-1,NULL
280,P,Item2,7,1,0,0,0,0,-1,NULL
300,P,Item2,7,-1,0,0,0,0,-1,NULL
320,P,Item2,7,1,0,0,0,0,-1,NULL
340,P,Item2,7,-1,0,0,0,0,-1,NULL
360,P,Item2,7,1,0,0,0,0,-1,NULL
380,P,Item2,7,-1,0,0,0,0,-1,NULL
400,P,Item2,7,1,0,0,0,0,-1,NULL
420,P,Item2,7,-1,0,0,0,0,-1,NULL
440,P,Item2,7,1,0,0,0,0,-1,NULL
460,P,Item2,7,-1,0,0,0,0,-1,NULL
480,P,Item2,7,1,0,0,0,0,-1,NULL
500,P,Item2,7,-1,0,0,0,0,-1,NULL
520,P,Item2,7,-1,0,0,0,0,-1,NULL
540,P,Item2,7,1,0,0,0,0,-1,NULL
560,P,Item2,7,-1,0,0,0,0,-1,NULL
580,P,Item2,7,1,0,0,0,0,-1,NULL
600,P,Item2,7,-1,0,0,0,0,-1,NULL
620,P,Item2,7,1,0,0,0,0,-1,NULL
640,P,Item2,7,-1,0,0,0,0,-1,NULL
660,P,Item2,7,1,0,0,0,0,-1,NULL
680,P,Item2,7,-1,0,0,0,0,-1,NULL
700,P,Item2,7,1,0,0,0,0,-1,NULL
720,P,Item2,7,-1,0,0,0,0,-1,NULL
800,P,Nakamura,5,-8.5,4444,1,10000,1,-1,NULL
1800,P,Item1,7,0,0,0,0,0,-1,NULL
2800,P,Item2,7,0,0,0,0,0,-1,NULL
3000,F,801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
